name,street_address,google_map,review_count,phone,website,restaurant_type,average_review,food_review,service_review,ambience_review,value_review,price_range,star_1,star_2,star_3,star_4,star_5,description,restaurant_main_type,latitude,longitude,postal_code
Rosa Mexicano by Lincoln Center,"61 Columbus Avenue New York, NY  10023",//www.google.com/maps/search/?api=1&query=40.7705900%2C-73.98357,6215,(212) 977-7700,http://www.rosamexicano.com/,Mexican,4.46215,4.3,4.2,4.2,4,$31 to $50,2,3,10,28,57,"Our highly anticipated second Rosa Mexicano location opened in July 2000. Just steps away from Lincoln Center, this impressive David Rockwell-designed space features a 30-foot iridescent blue tile water wall that spans both levels of the restaurant and is adorned with 240 miniature cliff divers. Here you’ll also find a dramatic “floating” staircase made of orange and red terrazzo slabs and backlit panels behind the bar embedded with rose petals. Awarded “Best Restaurant 2000” by Interiors Magazine, this unique, contemporary look ushered in a new era for us at Rosa Mexicano.",Mexican,40.771079,-73.9827734,10023
ABC Cocina,"38 East 19th Street New York, NY  10003",//www.google.com/maps/search/?api=1&query=40.7381770%2C-73.989533,2171,(212) 677-2233,NA,Tapas / Small Plates,4.72171,4.6,4.3,4.6,4,$30 and under,1,2,4,17,76,"ABC Cocina with Jean-Georges, Phil Suarez and ABC Carpet & Home",Other,40.7379803,-73.98927,10003
Gallaghers Steakhouse - Manhattan,"228 West 52nd Street New York, NY  10019",//www.google.com/maps/search/?api=1&query=40.7627930%2C-73.98384,5020,(212) 586-5000,http://www.gallaghersnysteakhouse.com/,Steakhouse,4.6502,4.7,4.7,4.6,4.2,$50 and over,1,1,5,19,74,"Founded by former Ziegfield girl Helen Gallagher and the colorful gambler and sports enthusiast Jack Solomon, Gallaghers opened as a speakeasy and steakhouse in 1927. At that time, the height of Prohibition, a good stiff drink and a great steak were hard to find in New York – except, of course, at Gallaghers.New Yorkers come for the world-class cocktails and incredible steak – prime beef dry-aged for 21 days in Gallaghers’ legendary windowed meat locker. The combination of all-natural dry aging and cooking it to perfection over hickory coals makes for a steak unlike any other found in New York.",Steakhouse,40.7628238,-73.9838753,10019
Boulud Sud,"20 West 64th Street New York, NY  10023",//www.google.com/maps/search/?api=1&query=40.7716450%2C-73.981032,4853,(212) 595-1313,http://www.bouludsud.com/nyc,Mediterranean,4.64853,4.6,4.5,4.4,4.1,$50 and over,1,2,6,20,71,"Chef Daniel Boulud’s vibrant Mediterranean menu offers flavors from France, Spain, Italy, Greece, North Africa and Turkey. There is an emphasis on grilled fish and meats as well as an abundance of fresh vegetables. With an entrance on West 64th Street, Boulud Sud is just steps from Manhattan’s Lincoln Center and is adjacent to Bar Boulud and Épicerie Boulud. ",Mediterranean,40.7715807,-73.9811807,10023
Nougatine at Jean Georges,"1 Central Park West New York, NY  10023",//www.google.com/maps/search/?api=1&query=40.7684000%2C-73.9816,5918,(212) 299-3900,http://www.jean-georgesrestaurant.com/,French,4.65918,4.6,4.4,4.5,4.2,$31 to $50,0,2,5,19,74,"Nougatine is the more casual sister of Jean-Georges, with a very lively bar scene at night. The restaurant attracts a mix of celebrities, socialites, and movers and shakers in the business world. Adjacent to the formal Jean-Georges dining room, Nougatine serves the signature and seasonal dishes of Chef Jean-Georges for breakfast, lunch, and dinner, 365 days a year. The menu is more casual than that offered at Jean-Georges but still market driven, utilizing only the freshest and finest ingredients. In addition to providing gorgeous views of Central Park, the newly renovated dining room by Thomas Juul-Hansen features a bustling, immaculate open kitchen. Tones of brown and cream mingle to create an elegant space that is soothing by day and exciting by night. Nougatine offers a prix-fixe lunch menu Monday through Friday from noon to 3 p.m.",French,40.7690255,-73.9816255,10023
Sarabeth's Central Park South,"40 Central Park South New York, NY  10019",//www.google.com/maps/search/?api=1&query=40.7652880%2C-73.975283,3570,(212) 826-5959,http://www.sarabethsrestaurants.com/,American,4.4357,4.3,4.3,4.1,3.7,$30 and under,1,3,11,23,62,"Great any time of day! Breakfast, Lunch, Late Lunch, Dinner and Brunch(Sat-Sun)“Not just for Brunch.” ""Not for many, many years now, and certainly not on Central Park South,” comments Frank Bruni of the New York Times about our wonderful dinner menu. Join us for an evening meal and reverse your thinking - Sarabeth's for Dinner.Dock's Oyster Bar and Jane are the sister restaurants to Sarabeth's.",American,40.7651362,-73.9757026,10019
Tao Downtown,"92 Ninth Ave New York, NY  10011",//www.google.com/maps/search/?api=1&query=40.7426140%2C-74.004205,2291,(212) 888-2724,http://www.taodowntown.com/,Pan-Asian,4.62291,4.5,4.3,4.7,4.1,$50 and over,2,2,7,16,73,"TAO Downtown was created to offer its guests a sensual trip through the cuisines of Asia.  From the moment one enters, they are transported to another world, designed to relax and indulge all of the senses.  TAO locations in New York, Las Vegas & Los Angeles are frequented on a regular basis by celebrities, athletes & influencers alike.  The Pan-Asian cuisine of TAO Downtown, which is prepared by Executive Chef Yoshi Kojima, is coveted the world over.  The décor has been meticulously designed and is accented throughout by imported artifacts from China, Japan and Thailand; all of this under the watchful eye of TAO’s signature 16 foot tall Quan Yin, the Goddess of Compassion.",Asian,40.7425376,-74.0038464,10011
ilili,"236 Fifth Avenue New York, NY  10001",//www.google.com/maps/search/?api=1&query=40.7442760%2C-73.987587,4981,(212) 683-2929,http://www.ililinyc.com/,Lebanese,4.64981,4.7,4.4,4.4,4,$31 to $50,1,1,5,19,74,"Tradition meets sophistication at ilili, New York City's premier contemporary Lebanese restaurant offering inspired Mediterranean cuisine. ilili's menu mixes authentic dishes with modern Mediterranean influences to create a culinary journey for the palate and senses. Complimenting the international cuisine, ilili offers an impressive wine list that includes wines from all over the world and features favorites from Lebanon and the Mediterranean.The restaurant's decor echoes the diverse menu, combining the architectural richness of Old Lebanon with an attitude and style that is unmistakeably New York. A DJ sets the mood with music from around the globe and soft, amber lighting punctuated by candles create a sexy, sophisticated atmosphere in which to enjoy a relaxed meal. The cuisine, decor and ambiance come together to create a new world for your senses to explore, whispering gently in your ear, ilili.",Other,40.7444086,-73.9879156,10001
Scarpetta,"88 Madison Ave New York, NY  10016",//www.google.com/maps/search/?api=1&query=40.7444290%2C-73.985796,3829,(212) 691-0555,http://www.scarpettarestaurants.com/new-york,Italian,4.63829,4.6,4.5,4.6,4,$31 to $50,2,2,6,17,73,"An Italian expression that means “little shoe” – or the shape bread takes when used to soak up a dish — Scarpetta represents the pure pleasure of savoring a meal down to its very last taste. Amongst many accolades, Scarpetta NYC received a three-star review from The New York Times and a nomination for Best New Restaurant in the country from the James Beard Foundation in 2009.",Italian,40.7444337,-73.9857807,10016
Atlantic Grill Near Lincoln Center,"49 West 64th St. New York, NY  10023",//www.google.com/maps/search/?api=1&query=40.7720650%2C-73.981511,5246,(212) 787-4663,http://www.atlanticgrill.com/,Seafood,4.45246,4.3,4.2,4.2,3.9,$31 to $50,1,4,8,32,55,"A local favorite for 20 years, Atlantic Grill has been serving the finest seafood since 1998. Located near Lincoln Center, our fresh sushi, delectable raw bar and inventive dishes make for a standout culinary experience.",Seafood,40.7721822,-73.9813041,10023
Empellon Midtown,"Empellon 510 Madison Avenue New York, NY  10022",//www.google.com/maps/search/?api=1&query=40.7596930%2C-73.974572,502,(212) 858-9365,http://www.empellon.com/,Contemporary Mexican,4.6502,4.5,4.5,4.4,3.8,$31 to $50,1,2,7,21,69,"Empellón (EM-PAY-ON) | verb | 1. To push or jostle. | 2. To break through.Upscale, contemporary dishes serving an innovative take on Mexican inspired cuisine.Established by chef & founder Alex Stupak, Empellón includes restaurants in NYC's East Village, West Village & Midtown neighborhoods.",Mexican,40.7597188,-73.9748665,10022
Ocean Prime - New York,"123 West 52nd Street New York, NY  10019",//www.google.com/maps/search/?api=1&query=40.7617290%2C-73.980629,1701,(212) 956-1404,http://www.ocean-prime.com/locations/new-york-city,Seafood,4.71701,4.7,4.6,4.6,4.2,$31 to $50,0,1,4,17,78,"OCEAN PRIME is a modern American restaurant and lounge from renownedrestaurateur Cameron Mitchell. The award-winning OCEAN PRIME delivers anextraordinary experience with stunning settings, an impressive menuof seafood and prime cuts of steak, signature cocktails, a Wine Spectator-honored wine list and truly genuine hospitality.From the kitchen and bar, there is an appreciation for ingredients that comesthrough in every dish. The menu is classic and yet there is a modern sensibility tothe preparations which range from lighter fare like simply grilled fish and sushi to indulgent seafood presentations, juicy steaks and decadent desserts.Each OCEAN PRIME location is dramatically designed and inspired by the unique energy of the city where it’s located. With stunning spaces, luxe details and truly exceptional service, OCEAN PRIME is an ideal place to socialize, talk business,celebrate and indulge.",Seafood,40.7618473,-73.9805453,10019
Sarabeth's West,"423 Amsterdam Avenue New York, NY  10024",//www.google.com/maps/search/?api=1&query=40.7838690%2C-73.977432,1471,(212) 496-6280,http://www.sarabethswest.com/,American,4.51471,4.4,4.3,4.1,3.8,$30 and under,1,3,8,28,60,"Known for its colorful homestyle cooking, warm atmosphere and family-friendly service, locals and visitors have felt at home at this very first Sarabeth’s location for nearly 30 years. Among many other cultural attractions on the Upper West Side, we’re within walking distance of The American Museum of Natural History, The Beacon Theater, The Children’s Museum of Manhattan, Central Park and Riverside Park.",American,40.7838797,-73.9774244,10024
STK - NYC - Midtown,"1114 Avenue of the Americas New York, NY  10036",//www.google.com/maps/search/?api=1&query=40.7547900%2C-73.982626,2678,(646) 624-2455,http://www.stkhouse.com/,Steakhouse,4.52678,4.5,4.2,4.5,3.8,$31 to $50,2,3,8,21,66,"STK artfully blends two concepts into one—the modern steakhouse and a chic lounge. A large central lounge area is furnished with creamy leather banquettes and textured crocodile tiles, and is surrounded by an elevated dining room for more formal dining. Theatrical lights illuminate each table, while a DJ creates an energetic vibe throughout the entire space. STK Midtown is located in Midtown Manhattan, just steps from the bustling Theatre District. STK Midtown includes an outdoor patio and separate bar during summer months. As anticipated, steak is the main attraction. With a chic and modern mindset, STK offers small, medium and large cuts of meat, as well as naturally raised options and market fresh fish entrees. Aside from steak, signature items include Parmesan Truffle Fries; Lil’ BRGs; Crispy Lobster Tail; Sweet Corn Pudding; and Jumbo Lump Crab Salad.",Steakhouse,40.7547172,-73.9827745,10036
Toloache-Midtown,"251 West 50th Street New York, NY  10012",//www.google.com/maps/search/?api=1&query=40.7621700%2C-73.985663,5178,(212) 581-1818,http://www.toloachenyc.com/,Mexican,4.55178,4.5,4.4,4.1,4,$30 and under,1,2,7,28,62,"Welcome to Toloache (pronounced toh-lo-AH-tchay), chef-owner Julian Medina’s contemporary Mexican bistro located in the heart of the Theater District. Toloache is named after a flowering plant famed in Mexico for its use in love potions. We hope that when you dine with us you too will fall under the spell of chef Medina’s creative cooking, which incorporates seasonal and natural ingredients and more than a dozen types of chilies. Our festive, two-story space features a guacamole and ceviche bar, a wood-burning oven, and an exceptional tequila list, along with elegant decorative elements imported from Mexico. We looking forward to seeing you soon.",Mexican,40.7623091,-73.9855741,10012
Blue Fin - New York,"1567 Broadway at 47th Street W Hotel Times Square New York, NY  10036",//www.google.com/maps/search/?api=1&query=40.7592810%2C-73.985265,6558,(212) 918-1400,http://www.bluefinnyc.com/,Seafood,4.36558,4.4,4.3,4.2,3.8,$31 to $50,1,3,10,31,55,"Blue Fin, a modern seafood restaurant located at W New York – Times Square, has reopened after an extensive redesign by Robert McKinley.  Known for its oasis-like respite from the buzz of Times Square and top quality seafood and sushi, the new Blue Fin boasts an upscale new look that evokes the feeling of an elegant, nautical getaway.  The restaurant will continue to offer fresh, modern seafood and sushi to its devoted clientele of theater-goers, tourists and New York City seafood lovers alike. ",Seafood,40.7593562,-73.98569,10036
Bar Boulud,"1900 Broadway New York, NY  10023",//www.google.com/maps/search/?api=1&query=40.7713730%2C-73.982034,6814,(212) 595-0303,http://www.barboulud.com/nyc/,French,4.46814,4.4,4.3,4.1,3.9,$30 and under,1,3,8,27,61,Bar Boulud is Chef Daniel Boulud’s bistro and wine bar located across from New York City's Lincoln Center. An exquisite array of housemade charcuterie complements sumptuous French cooking for both lunch and dinner. Bar Boulud offers a 3 course price fixe for lunch for $29 and dinner for $48. Outdoor dining is available on the terrace seasonally. Three private wine-themed dining rooms adjacent to the wine cellar are also available for private events. ,French,40.771542,-73.9814645,10023
Hakkasan - New York,"311 West 43rd Street New York, NY  10036",//www.google.com/maps/search/?api=1&query=40.7583430%2C-73.990152,2492,(212) 776-1818,http://hakkasan.com/locations/hakkasan-new-york/,Chinese,4.62492,4.6,4.4,4.5,4,$50 and over,1,1,7,20,71,"Located in Hell's Kitchen, Hakkasan New York offers a distinctive experience where modern authentic Cantonese cuisine, world-class mixology and dramatic design converge. The dining experience is intimate and chic, inviting guests to taste the artistry created by Michelin-starred Chef Ho Chee Boon. The culinary journey features dishes inspired by local flavors and influences as well as Hakkasan classics such as stir-fried black pepper rib-eye beef with Merlot and silver cod with champagne and Chinese honey suited for any sophisticated palate. Accompanying the delectable menu are expansive wine and cocktail programs, carefully curated by the talented Hakkasan mixologists.",Chinese,40.7584487,-73.9900275,10036
Lincoln Ristorante,"142 West 65th St. New York, NY  10023",//www.google.com/maps/search/?api=1&query=40.7736160%2C-73.98356,4697,(212) 359-6500,http://www.lincolnristorante.com/,Italian,4.64697,4.6,4.6,4.7,4,$31 to $50,1,2,5,19,73,"At Lincoln Ristorante, we offer our interpretation of modern Italian cuisine in New York at Lincoln Center. Our philosophy is simple: to source the best local ingredients and prepare them with authentic Italian methods and spirit. Our location beside Lincoln Center’s reflecting pool and the Henry Moore sculpture is exquisite, with panoramic views of the campus. The cuisine at Lincoln Ristorante blends precise technique with the ingredients and comforting feel of an Italian kitchen. We rely on local farmers and purveyors along with weekly visits to our neighborhood Tucker Square Green Market, while importing the essential items (Parmigiano Reggiano, San Marzano tomatoes) from Italy that are irreplaceable. ",Italian,40.7733125,-73.9837555,10023
Café Boulud,"20 East 76th St. New York, NY  10021",//www.google.com/maps/search/?api=1&query=40.7745190%2C-73.963928,5194,(212) 772-2600,http://www.cafeboulud.com/nyc/,French,4.65194,4.5,4.5,4.5,4,$50 and over,1,2,7,16,74,"CAFÉ BOULUD features a French-American menu inspired by Chef Daniel Boulud's four culinary muses: la tradition, classic French cuisine; la saison, seasonal delicacies; le potager, the vegetable garden; and le voyage, the flavors of world cuisines. In addition to dinner seven nights, we feature a $39 two-course prix-fixe lunch six days a week, and a $42 two-course prix-fixe brunch on Sundays. The restaurant is both a neighborhood gem and a destination for food lovers in search of casually elegant dining. Two private dining rooms seating 20 guests each are available for your private entertaining needs, and may be combined to accommodate 40.The restaurant's adjacent BAR PLEIADES serves inventive cocktails and a luxurious bar menu from 3 pm onward.DANIEL • DB Bistro Moderne •Boulud Sud• Bar Boulud • DBGB Kitchen & Bar • Epicerie Boulud ",French,40.7744937,-73.9640958,10021
The View Restaurant,"1535 Broadway New York, NY  10036",//www.google.com/maps/search/?api=1&query=40.7582300%2C-73.985763,10389,(212) 704-8900,http://www.theviewnyc.com/,Contemporary American,4.310389,4.2,4.4,4.5,3.7,$31 to $50,2,5,10,25,58,"Perched atop the hotel, the View Restaurant & Lounge is New York City's only revolving rooftop restaurant. Enjoy a breathtaking 360 view from the heart of the Times Square Theatre District amid an all-encompassing dining experience. The seasonally changing ""New American Cuisine"" features the best products from artisanal producers including top quality steaks, chops and seafood. 3-Course Prix-Fixe Dinner, $89.Please join us for Sunday Mimosa Brunch from 10:00am - 1:00pm, $62 per person, including two mimosas for each adult guest.   Please note: Reservations can only be made for dining in our restaurant; the lounge is first come; first seated. Thank you!Also contact us directly for details on our all-new Broadway Lounge with panoramic Times Square views, Crossroads American Kitchen & Bar, our elegant Concierge Lounge and our 100,000+ square feet of meeting space.",Contemporary American,40.7587183,-73.9862168,10036
Park Avenue Spring,"360 Park Avenue South New York, NY  10010",//www.google.com/maps/search/?api=1&query=40.7424320%2C-73.985121,1837,(212) 951-7111,http://www.parkavenyc.com/,American,4.61837,4.6,4.5,4.7,4.2,$31 to $50,2,2,4,16,76,"Restaurateur Michael Stillman is proud to announce the re-opening of Park Avenue Spring (Summer, Autumn, Winter), the New American restaurant that enjoyed a 22-year run on the Upper East Side of Manhattan. With Park Avenue Spring, Stillman has taken his restaurant downtown to 360 Park Avenue South and has tasked chef Zene Flinn (previously at the original Park Avenue and Jean-Georges’ Nougatine) with reinterpreting Park Avenue favorites in its new home.",American,40.7421397,-73.9855281,10010
Zuma Japanese Restaurant - NY,"261 Madison Avenue New York, NY  10016",//www.google.com/maps/search/?api=1&query=40.7504680%2C-73.980608,678,(212) 544-9862,http://www.zumarestaurant.com/,Japanese,4.7678,4.6,4.4,4.6,4.1,$50 and over,1,1,6,18,74,"Zuma, the brainchild of award winning co-founder and creator, Rainer Becker, brings its internationally acclaimed style of contemporary Japanese cuisine to midtown, New York. Serving dishes designed to share and inspired by the informal dining style of izakaya; the three kitchens present authentic yet alluring options, with bold flavors and simple presentation, highlighting quality ingredients.  261 Madison Avenue 10016",Japanese & Koren,40.7504971,-73.9806384,10016
La Pecora Bianca - NoMad,"1133 Broadway New York, NY  10010",//www.google.com/maps/search/?api=1&query=40.7436890%2C-73.989339,911,(212) 498-9696,http://www.lapecorabianca.com/,Italian,4.6911,4.5,4.3,4.5,4.2,$30 and under,1,1,4,21,73,"Located in NoMad and Midtown, La Pecora Bianca, which means ""the white sheep"" in Italian, offers a relaxed, all-day dining experience and vibrant Italian fare in a beautiful setting. We take Italian food back to its roots as an inherently local and seasonal cuisine with an approachable menu emphasizing vegetables and house-made pastas. True to Italian tradition, we source food from our local bounty whenever we can and let the ingredients shine in every dish. Our pastas, including our signature gramigna with sausage and broccolini and tagliatelle with beef and pork bolognese, are all made with local, organic grains. Our produce and meats are often sourced from the Hudson Valley & surrounding farm areas. Our extensive selection of spritzes and negronis are made with Italian amari, inspired by the tradition of aperitivi. La Pecora Bianca is open for breakfast, lunch, brunch and dinner, so we've designed our restaurants to allow for the seamless transition from day to night.",Italian,40.7437839,-73.9893618,10010
La Pecora Bianca - Midtown,"950 2nd Avenue New York, NY  10022",//www.google.com/maps/search/?api=1&query=40.7550050%2C-73.968053,288,(212) 899-9996,http://lapecorabianca.com/,Italian,4.5288,4.4,4.1,4.4,4,$30 and under,1,2,6,25,66,"Located in NoMad and Midtown, La Pecora Bianca, which means ""the white sheep"" in Italian, offers a relaxed, all-day dining experience and vibrant Italian fare in a beautiful setting. We take Italian food back to its roots as an inherently local and seasonal cuisine with an approachable menu emphasizing vegetables and house-made pastas. True to Italian tradition, we source food from our local bounty whenever we can and let the ingredients shine in every dish. Our pastas, including our signature gramigna with sausage and broccolini and tagliatelle with beef and pork bolognese, are all made with local, organic grains. Our produce and meats are often sourced from the Hudson Valley & surrounding farm areas. Our extensive selection of spritzes and negronis are made with Italian amari, inspired by the tradition of aperitivi. La Pecora Bianca is open for breakfast, lunch, brunch and dinner, so we've designed our restaurants to allow for the seamless transition from day to night.",Italian,40.7550058,-73.9680538,10022
Calle Ocho,"45 West 81st Street inside the Excelsior Hotel New York, NY  10024",//www.google.com/maps/search/?api=1&query=40.7828490%2C-73.973619,3465,(212) 873-5025,http://www.calleochonyc.com/,Latin American,4.33465,4.3,4.2,4.3,4.1,$31 to $50,3,3,10,26,58,"More festive than a piñata stuffed with a mariachi band and twice as stylish, Calle Ocho’s lively crowd is amped up on Mojitos, Caipirinhas, Sangria and Spanish wine or beer and shows no sign of slowing down. Those not willing or able to holler over the salsa music retire to the two small lounge areas to commiserate. The bar area is a prelude to their Nuevo Latino cuisine in the dining room that will knock your taste buds for a loop. If you’re in need of a quick jump-start, Calle Ocho will get your motor running. ",Spanish,40.7830052,-73.9736309,10024
Sarabeth's Park Avenue South,"381 Park Ave South New York, NY  10013",//www.google.com/maps/search/?api=1&query=40.7425210%2C-73.984531,1604,(212) 335-0093,http://www.sarabethsrestaurants.com/,American,4.51604,4.4,4.1,4.3,3.8,$30 and under,1,3,8,22,66,"We serve Breakfast, Lunch, Tea, Dinner and Brunch in this great space, between the hours of 7:30AM and 11PM, daily.   With a full bar, private rooms and A/V facilities, this is a perfect location for your next breakfast meeting or private dinner event.We also have live jazz music every Wednesday  and offer happy hour daily from 3pm to 7pm.If you dont see any available reservations on Open Table please call the restaurant directly.",American,40.7423754,-73.9841967,10013
Lavo - NYC,"39 East 58th Street New York, NY  10022",//www.google.com/maps/search/?api=1&query=40.7623230%2C-73.970304,2317,(212) 750-5588,http://www.lavony.com/,Italian,4.62317,4.6,4.5,4.5,4.1,$50 and over,2,1,6,19,72,Last reservations are at 12:45am. Lavo is open for lunch Monday - Friday and Sunday brunch from 11:30am - 5:00pm. We accept reservations up to one month in advance.,Italian,40.7629003,-73.9714637,10022
